School Name,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,TestsTakers,TestsTaken,OneTest,TwoTests,ThreeTests,FourTests,FiveorMoreTests,Unnamed:9,Score=1,Score=2,Score=3,Score=4,Score=5,PercentScore12,PercentScore35,NumEnrolledGrades09through12,NumDropoutAllGrades,PercentDropoutAllGrades,PercentDropoutGrade09,PercentDropoutGrade10,PercentDropoutGrade11,PercentDropoutGrade12,NuminCohort,PercentGraduated,PercentStillinSchool,PercentNonGradCompleters,PercentHSEquiv,PercentDroppedOut,PercentPermanentlyExcluded,HighSchoolGraduatesNum,AttendingCollUnivNum,AttendingCollUnivPercent,PrivateTwoYearPercent,PrivateFourYearPercent,PublicTwoYearPercent,PublicFourYearPercent,MACommunityCollegePercent,MAStateUniversityPercent,UnivofMassPercent,Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,WFNum,WFPercent,StudentIncluded,CPI,SGP,IncludedInSGP,ReadingWriting,Writing,Math,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Town,School
Hopkinton - Hopkinton High,1390505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.0,286.0,265.0,290.0,2.0,1155.0, 01390505,0.8,10.6,2.2,85.0,0.3,0.0,1.2,50.2,49.8,     461,     997,185.0,120.0,81.0,53.0,22.0,,34.0,78.0,242.0,299.0,344.0,11.2,88.8,"   1,090",1.0,0.1,0.0,0.0,0.0,0.4,       278,99.3,0.4,0.4,0.0,0.0,0.0,288.0,259.0,89.9,0.0,41.3,6.9,51.7,5.8,7.7,19.7,SCIENCE AND TECH/ENG,238.0,97.0,180.0,73.0,58.0,24.0,5.0,2.0,3.0,1.0,246.0,98.8,,,617.0,,629.0,1390505.0,43.0,3.7,11.0,1.0,144.0,12.5,186.0,16.1,50.0,4.3,"   1,095",26.0,1.2,1.6,0.0,0.0,0.0,Hopkinton,Hopkinton High
Hopkinton - Hopkinton Middle School,1390305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,294.0,277.0,0.0,0.0,0.0,0.0,0.0,805.0, 01390305,1.1,11.9,2.4,81.2,0.2,0.0,3.1,48.6,51.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,225.0,75.0,20.0,7.0,205.0,68.0,70.0,23.0,6.0,2.0,301.0,90.9,,,,,,1390305.0,35.0,4.3,8.0,1.0,106.0,13.2,139.0,17.3,32.0,4.0,     875,7.0,0.3,0.6,0.0,0.0,0.0,Hopkinton,Hopkinton Middle School
Hopkinton - Hopkinton Pre-School,1390003.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0, 01390003,0.0,10.2,6.8,83.1,0.0,0.0,0.0,59.3,40.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390003.0,11.0,18.6,11.0,18.6,22.0,37.3,27.0,45.8,8.0,13.6,      75,0.0,,,,,,Hopkinton,Hopkinton Pre-School
Hudson - C A Farley,1410030.0,13.0,87.0,88.0,86.0,77.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.0, 01410030,1.5,2.6,15.4,79.0,0.0,0.0,1.5,48.6,51.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410030.0,106.0,23.0,69.0,15.0,59.0,12.8,187.0,40.6,124.0,26.9,     512,4.0,,,,,,Hudson,C A Farley
Hudson - David J. Quinn Middle School,1410410.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,210.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,649.0, 01410410,1.5,2.2,10.5,82.3,0.0,0.0,3.5,47.5,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,85.0,38.0,21.0,9.0,64.0,29.0,106.0,47.0,33.0,15.0,224.0,72.1,,,,,,1410410.0,122.0,18.8,40.0,6.2,132.0,20.3,260.0,40.1,146.0,22.5,     659,23.0,0.9,3.0,0.0,0.0,0.0,Hudson,David J. Quinn Middle School
Hudson - Forest Avenue Elementary,1410015.0,0.0,82.0,64.0,76.0,68.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.0, 01410015,2.0,2.3,11.3,79.7,0.3,0.0,4.5,51.7,48.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410015.0,83.0,23.4,50.0,14.1,40.0,11.3,135.0,38.1,73.0,20.6,     343,0.0,,,,,,Hudson,Forest Avenue Elementary
Hudson - Hudson High,1410505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,168.0,186.0,188.0,182.0,0.0,933.0, 01410505,1.9,1.4,8.4,86.4,0.2,0.1,1.6,49.0,51.0,     173,     294,88.0,57.0,22.0,4.0,2.0,,25.0,54.0,113.0,64.0,38.0,26.9,73.1,     722,19.0,2.6,1.5,1.1,3.2,5.5,       162,80.2,7.4,1.9,3.1,6.8,0.6,171.0,150.0,87.7,0.0,40.7,14.7,44.7,13.3,16.7,18.0,SCIENCE AND TECH/ENG,206.0,53.0,62.0,16.0,144.0,37.0,142.0,37.0,38.0,10.0,386.0,78.8,,,564.0,,543.0,1410505.0,175.0,18.8,58.0,6.2,130.0,13.9,303.0,32.5,185.0,19.8,     965,31.0,0.0,3.2,0.0,0.0,0.0,Hudson,Hudson High
Hudson - Mulready Elementary,1410007.0,13.0,41.0,47.0,48.0,45.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0, 01410007,1.7,2.5,8.9,83.1,0.0,0.0,3.8,50.8,49.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410007.0,47.0,19.9,27.0,11.4,46.0,19.5,92.0,39.0,53.0,22.5,     265,0.0,,,,,,Hudson,Mulready Elementary
Hull - Hull High,1420505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,70.0,78.0,68.0,0.0,294.0, 01420505,1.4,0.7,1.7,94.2,0.0,0.0,2.0,52.7,47.3,      53,     119,15.0,21.0,12.0,1.0,4.0,,10.0,30.0,39.0,28.0,12.0,33.6,66.4,     311,3.0,1.0,0.0,0.0,3.2,1.0,        88,93.2,6.8,0.0,0.0,0.0,0.0,86.0,66.0,76.7,0.0,27.3,18.2,54.5,15.2,27.3,19.7,SCIENCE AND TECH/ENG,64.0,88.0,24.0,33.0,40.0,55.0,8.0,11.0,1.0,1.0,73.0,94.9,,,552.0,,537.0,1420505.0,2.0,0.7,1.0,0.3,59.0,20.1,112.0,38.1,83.0,28.2,     325,16.0,4.0,1.5,0.0,0.0,0.0,Hull,Hull High
Hull - Lillian M Jacobs,1420015.0,54.0,62.0,58.0,53.0,62.0,67.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410.0, 01420015,2.4,1.0,1.0,93.9,0.0,0.0,1.7,53.7,46.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,31.0,55.0,10.0,18.0,21.0,38.0,22.0,39.0,3.0,5.0,56.0,83.5,,,,,,1420015.0,1.0,0.2,1.0,0.2,88.0,21.5,175.0,42.7,127.0,31.0,     442,8.0,0.5,1.6,0.0,0.0,0.0,Hull,Lillian M Jacobs
Hull - Memorial Middle,1420305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,65.0,62.0,0.0,0.0,0.0,0.0,0.0,188.0, 01420305,0.5,0.5,0.5,98.4,0.0,0.0,0.0,55.9,44.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,35.0,47.0,1.0,1.0,34.0,45.0,27.0,36.0,13.0,17.0,75.0,73.3,,,,,,1420305.0,1.0,0.5,0.0,0.0,32.0,17.0,69.0,36.7,52.0,27.7,     209,10.0,2.9,2.4,0.0,0.0,0.0,Hull,Memorial Middle
Innovation Academy Charter (District) - Innovation Academy Charter School,4350305.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,110.0,98.0,100.0,94.0,0.0,802.0, 04350305,4.1,7.4,7.2,76.9,0.0,0.0,4.4,48.0,52.0,,,,,,,,,,,,,,,,     388,2.0,0.5,1.1,1.0,0.0,0.0,        96,90.6,4.2,0.0,4.2,1.0,0.0,,,,,,,,,,,SCIENCE AND TECH/ENG,155.0,53.0,24.0,8.0,131.0,45.0,118.0,40.0,20.0,7.0,293.0,79.7,,,585.0,,570.0,4350305.0,46.0,5.7,16.0,2.0,152.0,19.0,237.0,29.6,79.0,9.9,     798,0.0,,,,,,Innovation Academy Charter (District),Innovation Academy Charter School
Innovation Academy Charter - Innovation Academy Charter School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,59.0,90.8,0.0,49.2,20.3,30.5,20.3,8.5,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Innovation Academy Charter,Innovation Academy Charter School
Ipswich - Ipswich High,1440505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,140.0,121.0,115.0,6.0,516.0, 01440505,0.6,2.3,4.7,89.5,0.0,0.0,2.9,50.0,49.8,     139,     254,58.0,52.0,24.0,5.0,0.0,,19.0,49.0,74.0,77.0,35.0,26.8,73.2,     537,1.0,0.2,0.7,0.0,0.0,0.0,       158,97.5,0.6,0.0,0.6,1.3,0.0,146.0,118.0,80.8,0.0,39.8,14.4,45.8,13.6,12.7,17.8,SCIENCE AND TECH/ENG,103.0,88.0,47.0,40.0,56.0,48.0,13.0,11.0,1.0,1.0,117.0,96.2,,,572.0,,561.0,1440505.0,20.0,3.9,6.0,1.2,61.0,11.8,107.0,20.7,63.0,12.2,     558,19.0,2.9,1.1,0.0,0.0,0.0,Ipswich,Ipswich High
Ipswich - Ipswich Middle School,1440305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,135.0,164.0,0.0,0.0,0.0,0.0,0.0,440.0, 01440305,0.9,0.9,5.0,88.2,0.0,0.0,5.0,48.4,51.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,71.0,44.0,6.0,4.0,65.0,41.0,64.0,40.0,25.0,16.0,160.0,74.1,,,,,,1440305.0,13.0,3.0,2.0,0.5,69.0,15.7,110.0,25.0,56.0,12.7,     462,11.0,2.4,0.0,0.0,0.0,0.0,Ipswich,Ipswich Middle School
Ipswich - Paul F Doyon Memorial,1440007.0,22.0,68.0,55.0,64.0,62.0,66.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401.0, 01440007,0.7,2.0,3.0,92.3,0.0,0.0,2.0,51.4,48.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,43.0,62.0,19.0,28.0,24.0,35.0,22.0,32.0,4.0,6.0,69.0,86.2,,,,,,1440007.0,25.0,6.2,18.0,4.5,66.0,16.5,120.0,29.9,52.0,13.0,     407,0.0,,,,,,Ipswich,Paul F Doyon Memorial
Ipswich - Winthrop,1440015.0,18.0,62.0,50.0,62.0,53.0,67.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.0, 01440015,2.9,0.8,7.7,83.3,0.0,0.0,5.3,50.5,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,44.0,63.0,11.0,16.0,33.0,47.0,19.0,27.0,7.0,10.0,70.0,86.4,,,,,,1440015.0,24.0,6.3,17.0,4.5,71.0,18.8,127.0,33.6,75.0,19.8,     395,0.0,,,,,,Ipswich,Winthrop
KIPP Academy Boston Charter School (District) - KIPP Academy Boston Charter School,4630205.0,0.0,62.0,75.0,74.0,73.0,0.0,62.0,70.0,74.0,68.0,0.0,0.0,0.0,0.0,0.0,558.0, 04630205,69.2,0.4,28.9,0.4,0.0,0.0,1.3,53.4,46.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,23.0,17.0,1.0,1.0,22.0,16.0,64.0,48.0,47.0,35.0,134.0,57.3,,,,,,4630205.0,297.0,53.2,168.0,30.1,110.0,19.7,463.0,83.0,367.0,65.8,     519,105.0,5.6,18.1,0.0,0.0,0.0,KIPP Academy Boston Charter School (District),KIPP Academy Boston Charter School
KIPP Academy Lynn Charter (District) - KIPP Academy Lynn Charter School,4290010.0,0.0,122.0,122.0,122.0,0.0,0.0,122.0,122.0,122.0,121.0,131.0,127.0,113.0,112.0,0.0,1336.0, 04290010,20.5,3.2,66.6,6.4,0.2,0.0,3.1,49.9,50.1,     168,     273,85.0,62.0,20.0,1.0,0.0,,68.0,100.0,66.0,28.0,11.0,61.5,38.5,     465,2.0,0.4,0.0,0.0,0.9,1.1,        96,87.5,10.4,0.0,0.0,2.1,0.0,,,,,,,,,,,SCIENCE AND TECH/ENG,183.0,52.0,31.0,9.0,152.0,43.0,130.0,37.0,40.0,11.0,353.0,80.3,,,,,,4290010.0,974.0,72.9,371.0,27.8,172.0,12.9,928.0,69.5,687.0,51.4,"   1,213",246.0,19.3,6.8,0.0,0.0,0.3,KIPP Academy Lynn Charter (District),KIPP Academy Lynn Charter School
KIPP Academy Lynn Charter - KIPP Academy Lynn Charter School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,59.0,79.7,0.0,44.1,16.9,39.0,16.9,18.6,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KIPP Academy Lynn Charter,KIPP Academy Lynn Charter School
King Philip - King Philip Middle School,6900510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.0,394.0,0.0,0.0,0.0,0.0,0.0,740.0, 06900510,2.0,1.8,3.1,90.7,0.0,0.0,2.4,52.7,47.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,207.0,56.0,8.0,2.0,199.0,53.0,142.0,38.0,23.0,6.0,372.0,82.1,,,,,,6900510.0,18.0,2.4,5.0,0.7,115.0,15.5,155.0,20.9,64.0,8.6,     781,7.0,0.3,0.6,0.0,0.0,0.0,King Philip,King Philip Middle School
King Philip - King Philip Regional High,6900505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,333.0,321.0,328.0,8.0,1300.0, 06900505,1.8,1.8,1.5,92.8,0.0,0.1,2.0,52.1,47.9,     359,     712,165.0,87.0,69.0,26.0,12.0,,24.0,133.0,227.0,195.0,133.0,22.1,77.9,"   1,313",5.0,0.4,0.0,0.0,1.2,0.3,       315,96.2,2.5,0.0,0.3,1.0,0.0,269.0,235.0,87.4,0.0,42.1,14.9,43.0,13.6,12.8,13.2,SCIENCE AND TECH/ENG,277.0,94.0,156.0,53.0,121.0,41.0,16.0,5.0,2.0,1.0,295.0,98.0,,,587.0,,581.0,6900505.0,27.0,2.1,6.0,0.5,144.0,11.1,230.0,17.7,112.0,8.6,"   1,330",22.0,0.8,1.1,0.0,0.0,0.0,King Philip,King Philip Regional High
Kingston - Kingston Elementary,1450005.0,0.0,146.0,139.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451.0, 01450005,0.7,0.4,2.9,95.6,0.4,0.0,0.0,53.2,46.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450005.0,13.0,2.9,13.0,2.9,58.0,12.9,136.0,30.2,86.0,19.1,     454,0.0,,,,,,Kingston,Kingston Elementary
Kingston - Kingston Intermediate,1450020.0,0.0,0.0,0.0,0.0,139.0,148.0,152.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.0, 01450020,1.0,0.5,3.3,93.9,0.5,0.0,0.7,50.8,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,74.0,56.0,32.0,24.0,42.0,32.0,45.0,34.0,13.0,10.0,132.0,80.7,,,,,,1450020.0,8.0,1.4,4.0,0.7,98.0,17.1,178.0,31.1,99.0,17.3,     606,3.0,,,,,,Kingston,Kingston Intermediate
Lanesborough - Lanesborough Elementary,1480005.0,18.0,25.0,32.0,19.0,25.0,28.0,31.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0, 01480005,2.4,0.0,1.9,94.3,0.0,0.0,1.4,45.2,54.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,17.0,55.0,10.0,32.0,7.0,23.0,11.0,35.0,3.0,10.0,31.0,79.0,,,,,,1480005.0,1.0,0.5,0.0,0.0,43.0,20.5,78.0,37.1,53.0,25.2,     210,3.0,,,,,,Lanesborough,Lanesborough Elementary
Lawrence - Alexander B Bruce,1490015.0,0.0,0.0,0.0,0.0,86.0,90.0,79.0,80.0,99.0,83.0,0.0,0.0,0.0,0.0,0.0,517.0, 01490015,0.8,1.7,92.8,4.6,0.0,0.0,0.0,46.6,53.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,21.0,14.0,3.0,2.0,18.0,12.0,69.0,46.0,60.0,40.0,150.0,50.2,,,,,,1490015.0,393.0,76.0,190.0,36.8,78.0,15.1,433.0,83.8,321.0,62.1,     596,19.0,0.7,3.0,0.0,0.0,0.0,Lawrence,Alexander B Bruce
Lawrence - Arlington Middle School,1490017.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,149.0,148.0,151.0,0.0,0.0,0.0,0.0,0.0,586.0, 01490017,0.7,0.0,97.4,1.7,0.0,0.0,0.2,50.5,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,13.0,5.0,2.0,1.0,11.0,4.0,90.0,36.0,145.0,58.0,248.0,37.2,,,,,,1490017.0,471.0,80.4,232.0,39.6,80.0,13.7,520.0,88.7,394.0,67.2,     647,84.0,5.9,9.7,0.0,0.3,0.0,Lawrence,Arlington Middle School
Lawrence - Business Management & Finance High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.0,70.0,65.4,0.0,8.6,77.1,14.3,77.1,4.3,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lawrence,Business Management & Finance High School
Lawrence - Community Day Arlington,1490009.0,0.0,96.0,116.0,126.0,121.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0, 01490009,0.9,0.0,96.9,1.7,0.0,0.0,0.5,51.1,48.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1490009.0,458.0,78.0,323.0,55.0,65.0,11.1,527.0,89.8,407.0,69.3,     643,3.0,,,,,,Lawrence,Community Day Arlington
Lawrence - Edward F. Parthum,1490053.0,0.0,91.0,122.0,137.0,137.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.0, 01490053,1.0,0.5,93.0,5.0,0.2,0.0,0.5,51.4,48.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1490053.0,352.0,56.3,227.0,36.3,65.0,10.4,518.0,82.9,397.0,63.5,     725,8.0,0.3,0.8,0.0,0.0,0.0,Lawrence,Edward F. Parthum
Lawrence - Emily G Wetherbee,1490080.0,0.0,63.0,79.0,79.0,75.0,84.0,85.0,74.0,83.0,78.0,0.0,0.0,0.0,0.0,0.0,700.0, 01490080,0.6,2.7,91.6,4.3,0.0,0.0,0.9,47.4,52.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,55.0,35.0,17.0,11.0,38.0,24.0,74.0,47.0,30.0,19.0,159.0,74.1,,,,,,1490080.0,432.0,61.7,202.0,28.9,112.0,16.0,570.0,81.4,455.0,65.0,     796,20.0,0.6,2.0,0.0,0.1,0.0,Lawrence,Emily G Wetherbee
Lawrence - Francis M Leahy,1490040.0,0.0,51.0,92.0,100.0,105.0,101.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518.0, 01490040,0.4,0.0,96.7,2.7,0.0,0.0,0.2,51.2,48.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,14.0,25.0,3.0,5.0,11.0,20.0,31.0,56.0,10.0,18.0,55.0,65.5,,,,,,1490040.0,373.0,72.0,219.0,42.3,53.0,10.2,447.0,86.3,359.0,69.3,     563,7.0,0.0,1.2,0.0,0.0,0.0,Lawrence,Francis M Leahy
Lawrence - Frost Middle School,1490525.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,123.0,124.0,125.0,0.0,0.0,0.0,0.0,0.0,507.0, 01490525,2.2,4.1,83.8,8.9,0.0,0.0,1.0,53.5,46.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,60.0,27.0,10.0,4.0,50.0,22.0,114.0,50.0,52.0,23.0,226.0,62.6,,,,,,1490525.0,259.0,51.1,63.0,12.4,68.0,13.4,334.0,65.9,275.0,54.2,     535,55.0,1.5,9.2,0.0,0.0,0.0,Lawrence,Frost Middle School
Lawrence - Gerard A. Guilmette,1490022.0,0.0,0.0,106.0,130.0,137.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0, 01490022,2.7,0.6,93.6,2.9,0.0,0.0,0.2,52.9,47.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1490022.0,335.0,65.2,185.0,36.0,97.0,18.9,464.0,90.3,389.0,75.7,     592,4.0,,,,,,Lawrence,Gerard A. Guilmette
Lawrence - Guilmette Middle School,1490025.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,118.0,131.0,128.0,0.0,0.0,0.0,0.0,0.0,486.0, 01490025,1.9,0.6,94.7,2.7,0.0,0.0,0.2,47.3,52.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,67.0,30.0,12.0,5.0,55.0,24.0,103.0,46.0,56.0,25.0,226.0,66.2,,,,,,1490025.0,373.0,76.7,114.0,23.5,83.0,17.1,400.0,82.3,338.0,69.5,     556,51.0,4.5,7.4,0.0,0.2,0.0,Lawrence,Guilmette Middle School
Lawrence - Health & Human Services High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.0,92.0,79.3,0.0,6.5,84.8,8.7,84.8,2.2,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lawrence,Health & Human Services High School
Lawrence - High School Learning Center,1490536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,27.0,41.0,105.0,0.0,187.0, 01490536,0.0,0.5,95.2,4.3,0.0,0.0,0.0,62.6,37.4,,,,,,,,,,,,,,,,     176,14.0,8.0,0.0,18.8,5.9,5.7,       131,55.7,29.8,5.3,0.8,8.4,0.0,77.0,24.0,31.2,0.0,4.2,91.7,4.2,83.3,0.0,0.0,,,,,,,,,,,,,,,,,,,1490536.0,153.0,81.8,40.0,21.4,36.0,19.3,145.0,77.5,107.0,57.2,     245,8.0,0.4,2.9,0.0,0.0,0.0,Lawrence,High School Learning Center
Lawrence - Humanities & Leadership Development High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.0,83.0,73.5,0.0,15.7,69.9,14.5,66.3,9.6,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lawrence,Humanities & Leadership Development High School
Lawrence - International High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,31.0,64.6,0.0,0.0,100.0,0.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lawrence,International High School
Lawrence - James F Hennessey,1490020.0,93.0,82.0,80.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347.0, 01490020,1.4,0.9,94.2,2.9,0.0,0.0,0.6,51.6,48.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1490020.0,237.0,68.3,174.0,50.1,36.0,10.4,299.0,86.2,226.0,65.1,     449,0.0,,,,,,Lawrence,James F Hennessey
Lawrence - John Breen School,1490003.0,219.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.0, 01490003,2.4,3.6,88.7,5.1,0.0,0.0,0.3,52.8,47.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1490003.0,200.0,59.7,145.0,43.3,35.0,10.4,268.0,80.0,219.0,65.4,     399,1.0,,,,,,Lawrence,John Breen School
Lawrence - John K Tarbox,1490075.0,0.0,0.0,63.0,69.0,72.0,62.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.0, 01490075,0.3,0.0,96.3,2.4,0.0,0.0,0.9,53.2,46.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,16.0,37.0,5.0,12.0,11.0,26.0,23.0,53.0,4.0,9.0,43.0,70.9,,,,,,1490075.0,246.0,75.2,149.0,45.6,23.0,7.0,289.0,88.4,234.0,71.6,     409,6.0,0.5,1.0,0.0,0.0,0.0,Lawrence,John K Tarbox
Lawrence - Lawlor Early Childhood Center,1490002.0,0.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0, 01490002,1.2,0.0,96.9,1.2,0.0,0.0,0.6,53.4,46.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1490002.0,106.0,65.0,32.0,19.6,17.0,10.4,127.0,77.9,110.0,67.5,     193,0.0,,,,,,Lawrence,Lawlor Early Childhood Center
